accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
4,1.5,3.0,1,1,1.0,52.3840997535,4.884714897,7,0,1.1376318581362963,0,1,1,0,0
3,1.0,0.0,1,2,1.0,52.3687438221,4.8818356247,2,24,1.6650003230220012,0,1,0,1,0
2,1.0,0.0,1,1,1.0,52.3616294538,4.8882467872,2,115,2.0936602869563896,0,1,1,0,0
2,1.0,1.0,1,2,1.0,52.3374171091,4.8958123711,1,14,4.648397974588303,0,1,0,1,0
3,1.0,1.0,1,1,1.0,52.3725701434,4.8464818015,1,483,3.6665783724315,0,1,0,1,0
2,1.0,1.0,1,2,1.0,52.3634114944,4.863583531,2,18,2.9982030138366325,1,0,1,0,0
4,1.0,2.0,1,3,1.0,52.3710556469,4.8601422131,4,16,2.8144499183071288,1,0,1,0,0
4,1.5,2.0,1,1,1.0,52.3539848658,4.9086653904,3,4,2.8700456923612716,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3677415236,4.8666308597,2,1,2.563212261728456,1,0,1,0,0
3,1.0,1.0,1,2,1.0,52.3478652803,4.861442827,1,13,4.331452834047231,1,0,1,0,0
2,1.0,0.0,1,1,1.0,52.3824647563,4.8745167086,5,15,1.7287438773002004,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3901420319,4.8883926699,2,11,1.4289861886119222,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3672953081,4.8548491607,2,12,3.300758592736216,1,0,1,0,0
4,1.0,1.0,1,1,1.0,52.3298279334,4.885580732,1,2,5.565222953875949,0,1,1,0,0
2,1.0,1.0,2,1,2.0,52.3480073712,4.8690593188,3,4,4.031657659397277,1,0,0,1,0
2,1.0,1.0,2,2,2.0,52.3548906923,4.8103815496,1,7,6.618154070441417,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.345271224,4.8636982554,5,0,4.481751167658266,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3710144546,4.8697094494,2,4,2.2115098670005584,1,0,1,0,0
2,1.0,1.0,28,1,28.0,52.3714691739,4.8521687028,2,0,3.3190716447002893,0,1,1,0,0
2,1.0,1.0,1,1,1.0,52.3764261362,4.8718615801,6,37,1.8952479498218,0,1,0,1,0
4,1.5,2.0,2,2,2.0,52.3845014937,4.8880801212,2,10,0.9702129891757306,1,0,1,0,0
6,2.0,2.0,25,4,27.0,52.3781201962,4.8787439930000005,2,17,1.4083254107059082,0,1,1,0,0
4,1.0,2.0,2,2,2.0,52.3724796908,4.8537751886,1,1,3.1857441851391113,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3622772931,4.8954790117,2,6,1.8983469244578504,1,0,0,1,0
4,1.0,1.0,1,2,1.0,52.3775347439,4.8902774075,3,33,0.6475802062843473,0,1,1,0,0
2,1.5,1.0,1,1,1.0,52.3554714212,4.8132762834000005,2,6,6.412499482282081,0,1,1,0,0
4,1.0,2.0,1,2,1.0,52.3895270227,4.8866595973999996,2,75,1.4387995192216112,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3483747,4.8480615803,5,0,4.886353571384146,0,1,1,0,0
2,1.0,0.0,1,1,1.0,52.3770161195,4.8459170732,3,29,3.6381972576140704,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3738083399,4.8814079613,1,0,1.361031255295433,0,1,0,1,0
4,1.5,2.0,1,2,1.0,52.3601757205,4.9132214955,3,2,2.310763651499904,1,0,1,0,0
3,1.0,1.0,1,1,1.0,52.3623193961,4.8655090459,3,10,2.9683728089932773,1,0,1,0,0
4,1.0,1.0,1,2,1.0,52.3740477092,4.8772687991,2,44,1.6083435238049153,1,0,1,0,0
3,1.0,2.0,1,2,1.0,52.3811449727,4.818914694,1,21,5.465979470619189,1,0,1,0,0
2,1.0,1.0,2,2,2.0,52.4228269858,4.892090239,1,29,4.874750692080136,1,0,0,1,0
2,1.5,1.0,15,1,15.0,52.3735471429,4.8983661411,1,24,0.6311000348694538,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.373348832,4.8642331429,2,6,2.4744091926164518,1,0,1,0,0
4,1.0,2.0,1,2,1.0,52.4107926471,4.9612135643,3,43,5.4667754929322205,1,0,0,1,0
4,1.0,0.0,1,2,2.0,52.3787066453,4.8709913927,7,98,1.9299394440304358,1,0,1,0,0
2,1.0,0.0,1,1,1.0,52.3898812781,4.8914151435,2,0,1.306662447582727,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3604630603,4.9941351986,1,0,6.7541202171525185,1,0,1,0,0
2,1.0,1.0,3,1,3.0,52.357776838,4.8598773534,5,44,3.5866686532253746,1,0,1,0,0
4,2.0,2.0,1,2,1.0,52.4068775477,4.9052880358,3,31,3.102422559708129,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3566301657,4.8952796653,1,10,2.5226282042170856,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3515104566,5.0019113973,1,2,7.603737726511263,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3437333976,4.8650553291000005,3,8,4.578817483177687,0,1,1,0,0
